English,Gothic
agricultural -- agricultural property,got. hug-s* (2) 1
-- agricultural tract,got. þaúr-p* 1
aha,got. æ 5
ahead,"got. faúr 79=78, faúr-a 61"
-- ahead of,got. hi-n-dar 15
aid (N.),"got. and-stal-d* 2, bæt-a* 3"
-- give aid to,got. ga-hil-p-an* 1
-- go to the aid of,got. hil-p-an 4
aid (V.),got. bæt-jan* 4
ailing,got. un-hai-l-s* 4
ailment,"got. saúh-t-s* 11, siuk-ei 7=6"
aim (N.),"got. mun-d-r-ei* 1, wi-l-j-a 41=38"
-- take aim at,got. mun-d-æn* 2=1 sis
aim (V.),got. *til-æn
-- aim (V.) at,got. ga-rÐ-d-an* 1
aiming -- aiming advice,got. til-a-rÐþ-s* 1
air (N.),got. lu-f-t-u-s* 3
-- air current,got. wi-nd-s (1) 17
alabaster flask,got. alabalstraún* 1
alchemist,got. lu-b-j-a-leis* 1
alder,"got. *al-is-i?, *al-is-æ?, *al-iz-a"
alert (Adj.),got. war-s* (1) 1
alertness -- guarded alertness,got. war-ei* 2=1
alien,got. fra-m-aþ-ei-s* 9
alienate,got. fra-m-aþ-jan* 1
alienated,got. fra-m-aþ-ei-s* 9
alignment,got. tÐw-a* 1
alive,"got. hai-l-isk-s* 1?, qiu-s 7"
-- be alive,got. li-b-an 61=60
-- be alive together with,got. mi-þ-lib-an* 1
-- be made alive,got. ga-qiu-n-an* 4
-- become alive,"got. ga-qiu-n-an* 4, *qiu-n-an?"
-- make alive,"got. an-a-qiu-jan 1, ga-qiu-jan* 4, *qaiw-jan, *qiu-jan?"
-- make alive together,got. mi-þ-ga-qiu-jan* 2
all,"got. *al-a?, al-a-k-jæ 5, al-l-s 600=597"
-- all at once,"got. an-ak-s 3, sun-s 45"
-- all of,got. al-l-s 600=597
-- all together,"got. al-a-k-jæ 5, sam-a-n-a 12"
-- all together at the same time,got. sun-s 45
-- all together to the same place,got. sam-a-þ 4
-- at all (in neg. sentences),got. al-l-is 27
-- first of all,got. fru-m-ist 14
allegation -- extort from by false allegation,got. af-hæl-æn* 1
-- wrong by false allegation,got. hæl-æn* 2
allege -- allege as a reason for,got. *in-il-æn
alleged -- alleged reason,got. in-il-æ* 4
allegorical,got. al-ja-leik-æþ-s* 1
