Esperanto,Occidental
dermato,derma
de post,desde
descendi,descender
"dezert/a,-o","desert,-e"
"dizert/i,-into","desert/er,-or"
seniluziiĝo,desilusion
"dezir/i,-o","desir/ar,-e"
deserto,dessert
"desegn/i,-aĵo","dessin/-ar,-e"
destini,destinar
detrui,destructer
detal/aĵ/o,detallie
detekti,detecter
malantaŭen,detra
dezertigi,devastar
,devenir-fariĝi
devi,dever
devizo,devise
evoluigi,developar
sindona,devoet
devori,devorar
dekstra,dextrí
diabeto,diabete
diablo,diabol
tago,die
senhonorigi,difamar
digo,diga
digesti,digester
diĝita,digital
inda,digni
dilati,dilatar
"diligent/a,-eco","diligent,-ie"
aneto,dill
dilui,diluer
diluvo,diluvie
"dimimui, etigi",diminuer
"tagmanĵ/o,-i","diné,-ar"
diri,dir
direkti,directer
disĉiplo,disciplo
diskurso,discurs
diskuti,discusser
"diversspeca, heterogena",disparat
dispersi,disperser
dispozicii,disposir
"disigi, elspezi",dissipar
distanci,distar
distingi,distinter
distrikto,districte
diverĝi,diverger
diversa,diversi
amuzigi,divertisser
dividi,divider
dia,divin
diveni,divinar
divorci,divorciar
diskonigi,divulgar
dogano,doane
instrui,docer
perceptema,docil
"dolor/i,-o","dol/er,-ore"
"hejma, malsovaĝa",domestic
mastro,domino
bridi,domitar
donaco,don
dorloti,dorlotar
dorsi,dormir
dorso,dorse
doto,dot
dekduo,dozen
drako,dracon
"dram/o,-a","drama,-tic"
draŝi,drachar
drapo,drap
dreni,drenar
"dres/i,-ado","dress/er,-ura"
drola,drolli
du,du
dubi,dubitar
duŝo,duche
"gvid/i,-anto","duct/er,-or"
dolĉa,dulci
"do, sekve, tial",dunc
dupo,dupo
malmola,dur
daŭri,durar
kaj,e
iri,ear
"ebri/a,-/ec/o","ebrie,-tá"
eklezio,eclesie
preĝejo,eclesia
"eĥ/o,-iĝi","eco,-ar"
ekonomio,economie
ekrano,ecran
edikto,edict
edifi,edificar
konstruaĵo,edificie
eldoni,editer
eduki,educar
/for/viŝi,efaciar
efekto,efect
efektivigi,efectuar
egala,egal
elĵeti,ejecter
elekti,electer
elefanto,elefant
elemento,element
lernanto,elev
elito,elite
elokventa,eloquent
emani,emanar
embaraso,embarass
plibonigi,emendar
emerĝi,emerger
enerita,emerit
emfazo,emfase
emigri,emgirar
elstari,eminer
emisii,emisser
emocio,emotion
okupigi,employar
enigmo,enigma
enorma,enorm
enu/igi /-i/,enoyar /se/
"estaĵo, estulo",ente
akordiĝi,entender
elparoli,enunciar
episkopo,episcop
epistolo,epistul
ŝultro,epol
erekti,erecter
ermito,eremit
do,ergo
eriko,erica
eraro,erra
raьpo,eruca
"erud/i,-ito","erud/ir,-ito"
erupcii,erupter
eskapi,escapar
aŭskulti,escutar
spado,espade
esperi,esperar
spritaĵo,esprite
skizo,esquisse
eseo,essay
esti,esser
estimi,estimar
somero,estive
"ujo, -ujo",estuche
aĝo,etá
"establ/i,-/aĵ/o","etabliss/er,-ement"
etaĝo,etage
eterna,eterni
kvankam,etsí
eьfonio,eufonie
evakui,evacuar
sveni,evanescer
okazi,evenir
evidenta,evident
eviti,evitar
"evolu/i,-/ad/o","evolu/er,-tion"
el,ex
ekzakta,exact
troigi,exagerar
"ekzamen/i,-o","examin/ar,-e"
"eksces/i,-o","exce/der,-ssion"
"escepti, eligi",excepter
"ekstrakti, elscribi",excerpter
eksciti,excitar
ekskludi,excluder
ekskuzi,excusar
ekzekuti,executer
eksemplo,exemple
"eligi, liberigi",exempter
ekzercii,exercir
elĉerpi,exhauster
"admoni, instigi",exhortar
ekzilo,exilie
ekzisti,exister
postuli,exiger
"ekspansi/i,-a","expan/der,-siv"
ekspekti,expectar
ekspedi,expedir
elspezo,expense
"spert/i,-o","exper/ir,-ientie"
penti,expiar
ekspiri,expirar
ekspliki,explicar
esplori,explorar
ekspluati,explotar
ekspozicii,exposir
esprimi,expresser
elpeli,expulser
elekti,exquisir
etendi,extender
ekstera,exteriori
ekstermi,exterminar
ekstera,externi
estingi,extinter
disrabi,extirpar
exter,extra
fremda,extran
abundege kreski,exuberar
"ĝojkrii, jubili",exultar
fabo,fabe
fabulo,fabul
vizaĵo,facie
"facil/a,-eco","facil,-itá"
"fakto, faro",fact
fakturo,factura
fakultativa,fecultativ
malbongusta,fad
fago,fago
falĉilo,falce
folko,falcon
mistrafi,fallir
falsa,fals
malsato,fame
famo,fama
fantomo,fantom
fari,far
lumturo,fare
faruno,farine
farso,farse
"sinĝena, timema",faruchi
fazano,fasan
fasko,fasce
fascini,fascinar
fatalo,fate
laceco,fatiga
"faringo, gorĝo",fauce
favoro,favor
feino,fea
febro,febre
feko,fec
fekunda,fecund
"feder/o,-ala","feder/e,-al"
feliĉa,felici
"bondeziri, gratuli",felicitar
felto,feltre
virino,femina
femuro,femur
fendi,fender
fojno,fen
fenestro,fenestre
foiro,ferie
"feroca, kruela",feroci
fero,ferre
fruktodona,fertil
"fervor/i,-a,-o","ferv/er,-ent,-ore"
festo,festa
festeno,festine
festono,feston
"fetor/i,-a","fet/er,-id"
feto,feto
"feьd/o,-a","feud/e,-al"
fibolo,fible
fibro,fibre
fikcii,ficter
fiktiva,fictiv
fidi,fider
fidela,fidel
"faden/o,-igi","fil,-ar"
filiko,filice
"fil/o,-ino","fili/o,-a"
petolulo,filú
delikata,fin
fino,fine
fingro,fingre
fini,finir
firma,firm
fiksa,fix
flako,flac
flano,flad
flago,flagga
vipi,flagellar
flamo,flamme
maldillgentaĉi,flanar
flanko,flanca
flari,flarar
flati,flattar
sago,fleche
fleksi,flexer
"bubino, knabino",flicca=puella
floko,floc
floro,flor
flui,fluer
alfluo,flut
rivero,fluvie
