"分 ; 分 ; fēn, fèn ; HSK3",divider; parte; minute; centime | componente; portion
附近 ; 附近 ; fùjìn ; HSK3,(in li) vicinitá; proxim
復習 ; 复习 ; fùxí ; HSK3,reviser; aprender denov
干淨 ; 干净 ; gānjìng ; HSK3,nett
感冒 ; 感冒 ; gǎnmào ; HSK3,refrigidar se; refrigidation
感興趣 ; 感兴趣 ; gǎn xìngqù ; HSK3,interessar se pri
剛才 ; 刚才 ; gāngcái ; HSK3,just nu; ante un moment
個子 ; 个子 ; gèzi ; HSK3,altore; statura
根據 ; 根据 ; gēnjù ; HSK3,sequente; basat sur; secun
跟 ; 跟 ; gēn ; HSK3,sequer; ear junt; calcan
更 ; 更 ; gèng ; HSK3,plu; mem plu
公斤 ; 公斤 ; gōngjīn ; HSK3,kilogramma
公園 ; 公园 ; gōngyuán ; HSK3,parc public
故事 ; 故事 ; gùshi ; HSK3,historie; narration
刮風 ; 刮风 ; guāfēng ; HSK3,ventosi; sofflar (vente)
關 ; 关 ; guān ; HSK3,cluder; concerne; relation; passa (de un monte)
關系 ; 关系 ; guānxi ; HSK3,relation; concerne
關心 ; 关心 ; guānxīn ; HSK3,concerne; interesse
關於 ; 关于 ; guānyú ; HSK3,pri
國家 ; 国家 ; guójiā ; HSK3,land; país; nation
過 ; 过 ; guò ; HSK3,passar; crucear; (indica un experientie in li passate)
過去 ; 过去 ; guòqù ; HSK3,in li passate; anteyan
還是 ; 还是 ; háishi ; HSK3,o; totvez; vell esser plu bon
害怕 ; 害怕 ; hàipà ; HSK3,timer
黑板 ; 黑板 ; hēibǎn ; HSK3,tabul nigri
后來 ; 后来 ; hòulái ; HSK3,"plu tard, pos"
護照 ; 护照 ; hùzhào ; HSK3,passaporta
花 ; 花 ; huā ; HSK3,flor; florescer; expenser; custa
畫 ; 画 ; huà ; HSK3,dessinar; pictura
壞 ; 坏 ; huài ; HSK3,mal; ruptet
歡迎 ; 欢迎 ; huānyíng ; HSK3,salutar; far benevenit
還 ; 还 ; hái ; HSK3,ancor; támen; in plu
環境 ; 环境 ; huánjìng ; HSK3,circumitá; ambiente
換 ; 换 ; huàn ; HSK3,changear; exchangear; trocar; mercar
黃河 ; 黄河 ; huánghé ; HSK3,Yelb Rivere
回答 ; 回答 ; huídá ; HSK3,responder; replicar
會議 ; 会议 ; huìyì ; HSK3,incontra; conferentie
或者 ; 或者 ; huòzhě ; HSK3,o; possibil; fórsan
幾乎 ; 几乎 ; jīhū ; HSK3,presc
機會 ; 机会 ; jīhuì ; HSK3,oportunitá; chance; ocasion
極 ; 极 ; jí ; HSK3,un extremitá; pol; tre
