English,Gothic
Happy New Year (*fraus from *frawaz PG)  ,Frau Niwi Jer (phr.)
"Goodbye, bye (compare blessaður Is)  ",Þiuþiþs! (phr.)
"Southwards, to the South (from *sunþran PG) (analogous to *wiþran PG -> wiþra Go whereby *-an PG is not lost)  ",Sunþra (adv.)
"Northwards, to the North (from *nurþran PG)  ",Naurþra (adv.)
"Eastwards, to the East (from *austran PG)  ",Austra (adv.)
"Westwards, to the West (from *westran PG)  ",Wistra (adv.)
alcove (loan from قُبَّة Ar)  ,Kubba (f. O)
"an item of furniture, furniture (when in the plural) (calque of húsgagn Is)  ",Raznawaihts (f. I)
"cover, lid (from *lukōn PG)  ",Luko (f. N)
sandwich (smairw + hlaifs)  ,Smairwahlaifs (m. A)
"cupboard, cabinet (from scrīn OHG and skrín ON, ultimately from scrīnium L)  ",Skrein (n. A)
to play (from *spilōnan PG)  ,Spilon (weak II)
"game, a play (theatre) (from *spilan PG)  ",Spil (n. A)
"tools, stuff, equipment (from *teugan PG)  ",Tiug (n. A)
"toy (calque from Spielzeug NHG, leketøy Nor)  ",Spilatiug (n. A)
shelf (from *skelbōn PG)  ,Skilbo (f. N)
"lower (reconstructed comparative from undarists, compare unter NHG)  ",Undara (adj. weak only)
doll (from *dukkōn PG)  ,Dukko (f. N)
bedroom (sleps + heþjo)  ,Slepaheþjo (f. N)
dining room (biuþs + heþjo)  ,Biudaheþjo (f. N)
low (from *lēgaz PG)  ,Legs (adj. A)
"vessel, vat, container (from *fatan PG)  ",Fat (n. A)
dyslexia (f.N)  ,tuzanakunnei
"transgender (ja adj), calquing trans ufar gender kuni (Norwegian calques gender and sex as kjønn, so kuni seems logical)",ufarkunjis
to seize (calque of Greek επιλαμβανειν)   ,ufarniman
seizure   ,ufarnimands
epilepsy (following example of other Germanic languages whose native term for the illness was 'falling sickness')  ,drusasiukei
moisture  ,qrammiþa
rabbit (< Vulgar Latin cuniclus)  ,kuneiklus
neurology  ,sinawalaisei (f. O)
"appointment, date  ",þigg* (n. A)
interesting  ,spillawairþs/gaumiwairþs
How are you doing?   ,Hwaiwa magt?
I'm doing alright.   ,Waila mag.
Good morning   ,Godana maurgin
Good day/afternoon   ,Godana dag
Good evening   ,Goþ andanahti
Good night  ,Goda naht
Where do you come from?'  ,Hwaþro qimis?'
I come from X'  ,Qima us X (X is in the dative)'
China  ,*Keina (from kína IS) or *Kiþa (from Russian/Old Turkic) (both m. N)
Mediterranean  ,*Wandilamarei (akin to the Old English name)
